"Water Quality
Station Code",Name or Location of Monitoring Station,State/UT,"Type of Water
Body","Frequency of
Monitoring",Latitude,Longitude,
2969,"M/S SPECIALTY SILICA LTD., MIA ALWAR AGRO FOOD PARK, 
ALWAR, RAJASTHAN",RAJASTHAN,GROUND WATER,HALF-YEARLY,27.537483,76.525928,
2970,"RIICO TUBE WELL, RIA, BEHROR, RAJASTHAN",RAJASTHAN,GROUND WATER,HALF-YEARLY,27.881869,76.282786,
2971,"RIICO TUBE WELL, RIA, NEEMRANA, RAJASTHAN",RAJASTHAN,GROUND WATER,HALF-YEARLY,28.002058,76.409481,
2972,"RIICO TUBE WELL, RIA, SOTANALA, RAJASTHAN",RAJASTHAN,GROUND WATER,HALF-YEARLY,27.892139,76.275128,
2973,"RIICO TUBE WELL, RIA, SHAHJAHANPUR, RAJASTHAN",RAJASTHAN,GROUND WATER,HALF-YEARLY,27.996564,76.446314,
2974,"GROUND WATER AT VILLAGE AGYARA, TEHSIL- RAMGARH, ALWAR, 
RAJASTHAN",RAJASTHAN,GROUND WATER,HALF-YEARLY,27.587299,76.816286,
2975,"GROUND WATER AT VILLAGE BAGER MEO, TEHSIL- RAMGARH, 
ALWAR, RAJASTHAN",RAJASTHAN,GROUND WATER,HALF-YEARLY,27.718031,76.991556,
2976,"GROUND WATER AT SUJAN GANGA, BHARATPUR, RAJASTHAN",RAJASTHAN,GROUND WATER,HALF-YEARLY,27.216742,77.482167,
2977,"WELL OF RAM CHANDRA DEWRA, VILLAGE- SANGARIA, JODHPUR, 
RAJASTHAN",RAJASTHAN,GROUND WATER,HALF-YEARLY,26.150678,73.010994,
2978,"WELL OF BHERA RAM MEGHWAL, VILLAGE- TANAWARA, JODHPUR, ",RAJASTHAN,GROUND WATER,HALF-YEARLY,26.159194,73.006359,
,RAJASTHAN,,,,,,
2979,"HAND PUMP, VILLAGE- TANAWARA, JODHPUR, RAJASTHAN",RAJASTHAN,GROUND WATER,HALF-YEARLY,26.161062,73.003914,
2980,"JDR-01 (EAST SIDE OF RAILWAY BRIDGE), SALAWAS, JODHPUR, 
RAJASTHAN",RAJASTHAN,GROUND WATER,HALF-YEARLY,26.139754,73.013969,
2981,"JDR-02, WELL OF HUKUM SINGH, SALAWAS, JODHPUR, RAJASTHAN",RAJASTHAN,GROUND WATER,HALF-YEARLY,26.129347,72.991896,
2982,"WELL OF BIRMA RAM PATEL, SALAWAS, JODHPUR, RAJASTHAN",RAJASTHAN,GROUND WATER,HALF-YEARLY,26.116279,72.985799,
2983,"WELL OF KISHAN JI BHATI, SALAWAS, JODHPUR, RAJASTHAN",RAJASTHAN,GROUND WATER,HALF-YEARLY,26.127665,72.991316,
